Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T093_001,SE_T095_001,SE_T095_002,SE_T095_003,SE_T101_001,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T142_001
"29510110400","14000US29510110400","Census Tract 1104, St. Louis city, Missouri","Census Tract 1104, St. Louis city, Missouri","mo","140","00","ACSSF","0005665",,,,,"29","510",,,,"110400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2012,2012,19,1976,0,0,17,0,0,0,0,0,0,0,0,0,0,1423,1423,955,468,61600,397,247,150,1232,394,838,383,71,312,432
"29510110500","14000US29510110500","Census Tract 1105, St. Louis city, Missouri","Census Tract 1105, St. Louis city, Missouri","mo","140","00","ACSSF","0005666",,,,,"29","510",,,,"110500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,1038,1038,14,1012,0,0,0,7,5,0,0,0,0,0,0,0,0,902,902,470,432,48200,185,162,23,667,294,373,186,34,152,223
"29510111100","14000US29510111100","Census Tract 1111, St. Louis city, Missouri","Census Tract 1111, St. Louis city, Missouri","mo","140","00","ACSSF","0005667",,,,,"29","510",,,,"111100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,1859,1859,75,1763,0,0,0,0,21,0,0,0,0,0,0,0,0,924,924,665,259,78900,387,278,109,1228,524,704,124,18,106,212
"29510111200","14000US29510111200","Census Tract 1112, St. Louis city, Missouri","Census Tract 1112, St. Louis city, Missouri","mo","140","00","ACSSF","0005668",,,,,"29","510",,,,"111200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,934,913,55,847,0,3,0,5,3,21,5,6,0,0,0,5,5,627,627,338,289,51900,156,123,33,592,301,291,108,32,76,143
"29510111300","14000US29510111300","Census Tract 1113, St. Louis city, Missouri","Census Tract 1113, St. Louis city, Missouri","mo","140","00","ACSSF","0005669",,,,,"29","510",,,,"111300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349,1349,1349,4,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,1146,761,385,70600,178,30,148,796,230,566,363,60,303,224
"29510111400","14000US29510111400","Census Tract 1114, St. Louis city, Missouri","Census Tract 1114, St. Louis city, Missouri","mo","140","00","ACSSF","0005670",,,,,"29","510",,,,"111400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358,1358,1358,11,1316,0,31,0,0,0,0,0,0,0,0,0,0,0,789,789,469,320,54800,441,258,183,810,190,620,102,35,67,193
"29510111500","14000US29510111500","Census Tract 1115, St. Louis city, Missouri","Census Tract 1115, St. Louis city, Missouri","mo","140","00","ACSSF","0005671",,,,,"29","510",,,,"111500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,694,694,1,677,0,0,0,0,16,0,0,0,0,0,0,0,0,453,453,260,193,63700,216,103,113,382,158,224,95,17,78,134
"29510112100","14000US29510112100","Census Tract 1121, St. Louis city, Missouri","Census Tract 1121, St. Louis city, Missouri","mo","140","00","ACSSF","0005672",,,,,"29","510",,,,"112100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,4556,4436,3001,1057,24,258,0,0,96,120,91,0,0,0,0,16,13,2792,2792,2409,383,557600,620,14,606,3356,592,2764,505,17,488,954
"29510112200","14000US29510112200","Census Tract 1122, St. Louis city, Missouri","Census Tract 1122, St. Louis city, Missouri","mo","140","00","ACSSF","0005673",,,,,"29","510",,,,"112200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,1632,1603,107,1496,0,0,0,0,0,29,29,0,0,0,0,0,0,942,942,592,350,116300,454,258,196,980,313,667,141,35,106,238
"29510112300","14000US29510112300","Census Tract 1123, St. Louis city, Missouri","Census Tract 1123, St. Louis city, Missouri","mo","140","00","ACSSF","0005674",,,,,"29","510",,,,"112300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,1820,1820,24,1749,0,0,0,15,32,0,0,0,0,0,0,0,0,1300,1300,839,461,71400,518,400,118,1031,433,598,271,68,203,222
"29510112400","14000US29510112400","Census Tract 1124, St. Louis city, Missouri","Census Tract 1124, St. Louis city, Missouri","mo","140","00","ACSSF","0005675",,,,,"29","510",,,,"112400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006,4006,3854,2523,879,0,386,0,3,63,152,116,0,26,0,0,10,0,2628,2628,2326,302,374700,303,43,260,3010,499,2511,544,31,513,698
"29510113500","14000US29510113500","Census Tract 1135, St. Louis city, Missouri","Census Tract 1135, St. Louis city, Missouri","mo","140","00","ACSSF","0005676",,,,,"29","510",,,,"113500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,2205,2155,2114,24,0,4,0,0,13,50,42,8,0,0,0,0,0,1358,1358,1192,166,149100,260,36,224,1595,220,1375,350,14,336,745
"29510114101","14000US29510114101","Census Tract 1141.01, St. Louis city, Missouri","Census Tract 1141.01, St. Louis city, Missouri","mo","140","00","ACSSF","0005677",,,,,"29","510",,,,"114101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4307,4307,4205,2964,960,17,55,0,0,209,102,102,0,0,0,0,0,0,2580,2580,2288,292,163000,673,52,621,3169,412,2757,442,60,382,836
"29510114102","14000US29510114102","Census Tract 1141.02, St. Louis city, Missouri","Census Tract 1141.02, St. Louis city, Missouri","mo","140","00","ACSSF","0005678",,,,,"29","510",,,,"114102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4282,4282,4274,4142,132,0,0,0,0,0,8,0,0,0,0,0,0,8,2201,2201,2049,152,259100,713,0,713,2921,166,2755,640,71,569,1023
"29510114200","14000US29510114200","Census Tract 1142, St. Louis city, Missouri","Census Tract 1142, St. Louis city, Missouri","mo","140","00","ACSSF","0005679",,,,,"29","510",,,,"114200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721,4721,4584,3875,397,0,79,0,0,233,137,71,0,0,0,0,66,0,2631,2631,2482,149,138200,665,229,436,3548,491,3057,508,65,443,1394
"29510114300","14000US29510114300","Census Tract 1143, St. Louis city, Missouri","Census Tract 1143, St. Louis city, Missouri","mo","140","00","ACSSF","0005680",,,,,"29","510",,,,"114300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5162,5162,4916,4430,268,0,137,0,17,64,246,181,0,0,0,0,37,28,2731,2731,2508,223,153600,863,51,812,3731,226,3505,544,39,505,1936
"29510115100","14000US29510115100","Census Tract 1151, St. Louis city, Missouri","Census Tract 1151, St. Louis city, Missouri","mo","140","00","ACSSF","0005681",,,,,"29","510",,,,"115100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4177,4177,3783,3089,464,19,75,0,0,136,394,306,11,0,0,0,38,39,1946,1946,1805,141,89000,776,262,514,2670,569,2101,523,177,346,1051
"29510115200","14000US29510115200","Census Tract 1152, St. Louis city, Missouri","Census Tract 1152, St. Louis city, Missouri","mo","140","00","ACSSF","0005682",,,,,"29","510",,,,"115200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370,3370,2978,1168,1393,0,295,0,59,63,392,379,0,0,0,0,13,0,1728,1728,1477,251,90600,929,552,377,2149,642,1507,257,46,211,446
"29510115300","14000US29510115300","Census Tract 1153, St. Louis city, Missouri","Census Tract 1153, St. Louis city, Missouri","mo","140","00","ACSSF","0005683",,,,,"29","510",,,,"115300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167,5167,4835,2205,1872,0,675,0,0,83,332,327,5,0,0,0,0,0,2351,2351,1932,419,82600,1367,525,842,3373,720,2653,419,5,414,1138
"29510115400","14000US29510115400","Census Tract 1154, St. Louis city, Missouri","Census Tract 1154, St. Louis city, Missouri","mo","140","00","ACSSF","0005684",,,,,"29","510",,,,"115400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312,3312,2952,1668,847,0,102,22,99,214,360,320,0,0,0,0,40,0,1393,1393,1158,235,83100,832,354,478,2241,545,1696,239,11,228,695
"29510115500","14000US29510115500","Census Tract 1155, St. Louis city, Missouri","Census Tract 1155, St. Louis city, Missouri","mo","140","00","ACSSF","0005685",,,,,"29","510",,,,"115500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6446,6446,5688,1694,3748,0,53,0,0,193,758,722,0,0,0,0,36,0,2985,2985,2481,504,75500,1780,1019,761,4068,1636,2432,598,63,535,831
"29510115600","14000US29510115600","Census Tract 1156, St. Louis city, Missouri","Census Tract 1156, St. Louis city, Missouri","mo","140","00","ACSSF","0005686",,,,,"29","510",,,,"115600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813,4813,4404,1836,2237,0,42,0,146,143,409,331,0,25,0,0,39,14,2880,2880,2054,826,69200,1064,634,430,2733,848,1885,702,185,517,580
"29510115700","14000US29510115700","Census Tract 1157, St. Louis city, Missouri","Census Tract 1157, St. Louis city, Missouri","mo","140","00","ACSSF","0005687",,,,,"29","510",,,,"115700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658,3658,3038,1111,1677,0,183,0,45,22,620,520,0,0,77,0,0,23,1832,1832,1358,474,56700,1247,807,440,2105,848,1257,217,24,193,354
"29510116100","14000US29510116100","Census Tract 1161, St. Louis city, Missouri","Census Tract 1161, St. Louis city, Missouri","mo","140","00","ACSSF","0005688",,,,,"29","510",,,,"116100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973,2973,2754,1417,830,57,279,0,0,171,219,219,0,0,0,0,0,0,1775,1775,1470,305,105300,428,198,230,2189,474,1715,309,74,235,768
"29510116200","14000US29510116200","Census Tract 1162, St. Louis city, Missouri","Census Tract 1162, St. Louis city, Missouri","mo","140","00","ACSSF","0005689",,,,,"29","510",,,,"116200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132,4132,3842,2918,588,15,158,0,0,163,290,280,0,0,0,0,10,0,2347,2347,2131,216,146900,641,0,641,3144,381,2763,347,52,295,1069
"29510116301","14000US29510116301","Census Tract 1163.01, St. Louis city, Missouri","Census Tract 1163.01, St. Louis city, Missouri","mo","140","00","ACSSF","0005690",,,,,"29","510",,,,"116301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,3634,3330,2374,703,10,132,0,0,111,304,218,0,0,0,0,86,0,1603,1603,1442,161,205700,787,112,675,2517,290,2227,320,74,246,781
"29510116302","14000US29510116302","Census Tract 1163.02, St. Louis city, Missouri","Census Tract 1163.02, St. Louis city, Missouri","mo","140","00","ACSSF","0005691",,,,,"29","510",,,,"116302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2783,2783,2463,324,1009,0,1079,0,28,23,320,280,0,0,16,0,24,0,1575,1575,1265,310,86000,617,261,356,2043,673,1370,123,10,113,272
"29510116400","14000US29510116400","Census Tract 1164, St. Louis city, Missouri","Census Tract 1164, St. Louis city, Missouri","mo","140","00","ACSSF","0005692",,,,,"29","510",,,,"116400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852,4852,4418,1117,2804,0,229,0,101,167,434,224,138,0,0,0,48,24,2594,2594,1950,644,64500,1412,755,657,3056,1034,2022,361,54,307,609
