"","trtid10","pop16","nhblk16","blk16","pov16","pov_det16","hu16","ohu16","mhm16","hu16_4vac","vac16","pop70","black70","hu70","vac70","ohu70","pov_det70","pov70","pop80","nhblk80","hu80","vac80"
"47",29510111200,934,847,853,456,856,627,143,51900,627,289,7878.19660313312,7823.19095490873,2809.06317694485,210.003340092488,2599.05983684957,7878.196603,2516.038968,4517.151453,4439.148026,2021.060044,384.0051008
"48",29510111300,1349,1345,1345,320,1337,1146,224,70600,1146,385,6673.99991067436,6626,2522,266,2256,6673.999911,2545,3868.999948,3814,1918,368
"49",29510111400,1358,1316,1316,483,1353,789,193,54800,789,320,7357.00001959169,7264,2416,119,2297,7357.00002,2701,4625.000012,4531,1911,212
"50",29510111500,694,677,677,278,693,453,134,63700,453,193,5914.00010602595,5799,2059,324,1735,5914.000106,2913,2909.000052,2864,1296,279
"51",29510112100,4556,1057,1057,623,4481,2792,954,557600,2792,383,7128.00008728547,3298,4092,775,3317,7128.000087,1497,4055.00005,1878,2841,883
"52",29510112200,1632,1496,1496,606,1575,942,238,116300,942,350,6084.99998742613,5723,2059,235,1824,6049.999987,1648,4016.999992,3558,1328,175
"53",29510112300,1820,1749,1749,901,1820,1300,222,71400,1300,461,6166.00000323018,6059,2117,147,1970,6166.000003,1788,4345.000002,4276,1826,303
"54",29510112400,4006,879,879,573,3857,2628,698,374700,2628,302,5261.0000471595,1378,2934,287,2647,5307.000048,1247,4487.00004,1169,2859,528
"55",29510113500,2205,24,32,270,2205,1358,745,149100,1358,166,4256.99994941986,9,1596,63,1533,4238.99995,462,3152.999963,2,1460,58
"56",29510114101,4307,960,960,524,4284,2580,836,163000,2580,292,5681.45598601643,1.0303692817688,2551.1943359375,50.488094329834,2500.7060546875,5674.758586,417.8147278,4940.620503,4.121477127,2547.072754,66.45881653
"57",29510114102,4282,132,132,237,4274,2201,1023,259100,2201,152,5346.54404846514,0.969630777835846,2400.8056640625,47.511905670166,2353.2939453125,5340.241448,393.1852722,4649.379527,3.878523111,2396.927246,62.54118347
"58",29510114200,4721,397,397,785,4721,2631,1394,138200,2631,149,6534.00003223287,14,2666,41,2625,6534.000032,378,5569.000027,4,2703,65
"59",29510114300,5162,268,268,316,5138,2731,1936,153600,2731,223,7620.00002700064,13,2822,44,2778,7620.000027,419,6449.000023,0,2780,95
"60",29510115100,4177,464,475,1008,3969,1946,1051,89000,1946,141,4611.99997134256,2,1767,48,1719,4611.999971,339,3941.999976,4,1711,34
"61",29510115200,3370,1393,1393,1240,3335,1728,446,90600,1728,251,3837.66550701623,1.00480181025341,1815.7872209549,79.5041900873184,1736.28303050995,3837.665507,349.3144724,3200.50836,8.062423535,1777.619158,79.7058661
