Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1233","Census Tract 1233, St. Louis City, Missouri","G2905100123300","2905100123300","50",0.35212603097818,"29510123300","29","510","123300",3672,0.35212603097818,3672,3594,3538,32,20,4,78,55,3,9,11,1982,1442,540,3635,2591,1044
"Census Tract 1234","Census Tract 1234, St. Louis City, Missouri","G2905100123400","2905100123400","50",0.44868200748419,"29510123400","29","510","123400",2436,0.44868200748419,2436,2367,2255,87,10,15,69,55,0,1,13,2134,1225,909,2378,1697,681
"Census Tract 1235","Census Tract 1235, St. Louis City, Missouri","G2905100123500","2905100123500","50",1.01669704183931,"29510123500","29","510","123500",0,1.01669704183931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 1241","Census Tract 1241, St. Louis City, Missouri","G2905100124100","2905100124100","50",0.41048580664565,"29510124100","29","510","124100",6287,0.41048580664565,6287,6154,6035,35,65,19,133,113,0,3,17,2972,2689,283,6269,5131,1138
"Census Tract 1242","Census Tract 1242, St. Louis City, Missouri","G2905100124200","2905100124200","50",0.30601378838221,"29510124200","29","510","124200",4526,0.30601378838221,4526,4449,4395,20,27,7,77,49,0,0,28,2354,2036,318,4517,3567,950
"Census Tract 1243","Census Tract 1243, St. Louis City, Missouri","G2905100124300","2905100124300","50",0.45143404577714,"29510124300","29","510","124300",5209,0.45143404577714,5209,5084,5018,14,40,12,125,78,0,1,46,2544,2052,492,5138,3805,1333
"Census Tract 1246","Census Tract 1246, St. Louis City, Missouri","G2905100124600","2905100124600","50",1.06820947408828,"29510124600","29","510","124600",2561,1.06820947408828,2561,2488,2307,168,9,4,73,61,0,0,12,1345,1200,145,2578,2156,422
"Census Tract 1255","Census Tract 1255, St. Louis City, Missouri","G2905100125500","2905100125500","50",0.41741649426027,"29510125500","29","510","125500",2323,0.41741649426027,2323,2300,1950,333,15,2,23,13,0,3,7,1965,1832,133,2338,1962,376
"Census Tract 1256","Census Tract 1256, St. Louis City, Missouri","G2905100125600","2905100125600","50",0.97215112378797,"29510125600","29","510","125600",1127,0.97215112378797,1127,1114,929,171,7,7,13,11,0,0,2,1041,883,158,1095,965,130
"Census Tract 1257","Census Tract 1257, St. Louis City, Missouri","G2905100125700","2905100125700","50",0.57725145308794,"29510125700","29","510","125700",3340,0.57725145308794,3340,3317,89,3225,2,1,23,2,17,0,4,1635,1295,340,3340,1790,1550
"Census Tract 1266","Census Tract 1266, St. Louis City, Missouri","G2905100126600","2905100126600","50",1.44834232553021,"29510126600","29","510","126600",4620,1.44834232553021,4620,4554,2715,1785,34,20,66,44,13,2,7,2386,1704,682,4309,1864,2445
"Census Tract 1267","Census Tract 1267, St. Louis City, Missouri","G2905100126700","2905100126700","50",1.03179348146853,"29510126700","29","510","126700",3205,1.03179348146853,3205,3133,2461,645,7,20,72,49,4,0,19,1717,1289,428,3203,2439,764
