Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1122","Census Tract 1122, St. Louis City, Missouri","G2905100112200","2905100112200","50",0.27578423749211,"29510112200","29","510","112200",4017,0.27578423749211,4017,4009,446,3558,4,1,8,1,2,1,4,1328,1153,175,3652,2486,1166
"Census Tract 1123","Census Tract 1123, St. Louis City, Missouri","G2905100112300","2905100112300","50",0.32301012151326,"29510112300","29","510","112300",4345,0.32301012151326,4345,4312,30,4276,5,1,33,0,32,0,1,1826,1523,303,4324,3316,1008
"Census Tract 1124","Census Tract 1124, St. Louis City, Missouri","G2905100112400","2905100112400","50",0.35824178266787,"29510112400","29","510","112400",4487,0.35824178266787,4487,4443,3224,1169,38,12,44,30,1,4,9,2856,2331,525,4206,3467,739
"Census Tract 1131","Census Tract 1131, St. Louis City, Missouri","G2905100113100","2905100113100","50",0.4724533511897,"29510113100","29","510","113100",4385,0.4724533511897,4385,4340,3880,438,20,2,45,41,0,0,4,1576,1518,58,3137,2961,176
"Census Tract 1134","Census Tract 1134, St. Louis City, Missouri","G2905100113400","2905100113400","50",0.3014229016781,"29510113400","29","510","113400",1185,0.3014229016781,1185,1178,1157,9,12,0,7,7,0,0,0,554,506,48,1188,1128,60
"Census Tract 1135","Census Tract 1135, St. Louis City, Missouri","G2905100113500","2905100113500","50",0.69423405492969,"29510113500","29","510","113500",3153,0.69423405492969,3153,3120,3109,2,4,5,33,29,0,0,4,1473,1414,59,3126,2936,190
"Census Tract 1141","Census Tract 1141, St. Louis City, Missouri","G2905100114100","2905100114100","50",0.97326043608516,"29510114100","29","510","114100",9590,0.97326043608516,9590,9505,9458,8,32,7,85,80,0,1,4,4938,4815,123,9590,9211,379
"Census Tract 1142","Census Tract 1142, St. Louis City, Missouri","G2905100114200","2905100114200","50",0.58310378916951,"29510114200","29","510","114200",5569,0.58310378916951,5569,5517,5482,4,24,7,52,46,0,2,4,2704,2638,66,5569,5278,291
"Census Tract 1143","Census Tract 1143, St. Louis City, Missouri","G2905100114300","2905100114300","50",0.5335470269043,"29510114300","29","510","114300",6449,0.5335470269043,6449,6370,6330,0,19,21,79,68,0,0,11,2780,2685,95,6441,6126,315
"Census Tract 1151","Census Tract 1151, St. Louis City, Missouri","G2905100115100","2905100115100","50",0.44479341665703,"29510115100","29","510","115100",3942,0.44479341665703,3942,3901,3876,4,14,7,41,39,0,0,2,1711,1677,34,3878,3700,178
"Census Tract 1152","Census Tract 1152, St. Louis City, Missouri","G2905100115200","2905100115200","50",0.51947407507056,"29510115200","29","510","115200",3172,0.51947407507056,3172,3130,3093,8,23,6,42,31,0,10,1,1766,1686,80,3168,2897,271
"Census Tract 1153","Census Tract 1153, St. Louis City, Missouri","G2905100115300","2905100115300","50",0.64147896450574,"29510115300","29","510","115300",6358,0.64147896450574,6358,6224,6027,104,84,9,134,91,0,4,39,2656,2552,104,6300,6053,247
"Census Tract 1154","Census Tract 1154, St. Louis City, Missouri","G2905100115400","2905100115400","50",0.38325988799809,"29510115400","29","510","115400",3327,0.38325988799809,3327,3278,3269,0,8,1,49,40,0,3,6,1430,1384,46,3327,3137,190
"Census Tract 1155","Census Tract 1155, St. Louis City, Missouri","G2905100115500","2905100115500","50",0.47105225806499,"29510115500","29","510","115500",6331,0.47105225806499,6331,6249,6213,6,28,2,82,48,0,2,32,3108,2968,140,6315,5742,573
"Census Tract 1156","Census Tract 1156, St. Louis City, Missouri","G2905100115600","2905100115600","50",1.04590957960652,"29510115600","29","510","115600",6116,1.04590957960652,6116,6041,5975,28,26,12,75,69,0,0,6,2721,2567,154,5273,4374,899
"Census Tract 1157","Census Tract 1157, St. Louis City, Missouri","G2905100115700","2905100115700","50",0.39816457637097,"29510115700","29","510","115700",4390,0.39816457637097,4390,4324,4308,4,9,3,66,53,0,0,13,2055,1925,130,4284,3674,610
"Census Tract 1161","Census Tract 1161, St. Louis City, Missouri","G2905100116100","2905100116100","50",0.29199571974096,"29510116100","29","510","116100",3338,0.29199571974096,3338,3283,3260,3,16,4,55,45,0,0,10,1784,1715,69,3325,3069,256
"Census Tract 1162","Census Tract 1162, St. Louis City, Missouri","G2905100116200","2905100116200","50",0.91732805114383,"29510116200","29","510","116200",5937,0.91732805114383,5937,5874,5823,13,32,6,63,49,0,6,8,2621,2481,140,5917,5271,646
"Census Tract 1163","Census Tract 1163, St. Louis City, Missouri","G2905100116300","2905100116300","50",0.49315441370578,"29510116300","29","510","116300",7169,0.49315441370578,7169,7050,6907,24,103,16,119,101,0,10,8,3385,3227,158,7169,6422,747
"Census Tract 1164","Census Tract 1164, St. Louis City, Missouri","G2905100116400","2905100116400","50",0.38832812644495,"29510116400","29","510","116400",5379,0.38832812644495,5379,5320,5251,17,44,8,59,52,0,3,4,2745,2528,217,5163,4353,810
