Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-002092,2016-03,01/13/2016 19:15,NA,NA,NA,1,NA,71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5645,FOREST PARK,46,NA,NA,5645,FOREST PARK,0,0,TRUE,"5645 FOREST PARK, St. Louis, MO",NA,NA
16-002116,2016-01,01/13/2016 21:10,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5900,CATES AVE,48,NA,NA,6100,CATES,0,0,TRUE,"5900 CATES AVE, St. Louis, MO",NA,NA
16-002372,2017-02,01/15/2016 08:32,Y,NA,NA,1,NA,10000,5,HOMICIDE,3911,GARFIELD,56,NA,NA,NA,NA,0,0,TRUE,"3911 GARFIELD, St. Louis, MO",NA,NA
16-002435,2016-01,01/15/2016 09:22,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,3700,PAGE BLVD,77,NA,NA,3700,PAGE,0,0,TRUE,"3700 PAGE BLVD, St. Louis, MO",NA,NA
16-002485,2016-03,01/15/2016 18:45,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4700,LEE AVE,69,NA,NA,4600,LEE,0,0,TRUE,"4700 LEE AVE, St. Louis, MO",NA,NA
16-002703,2016-05,01/17/2016 07:23,NA,NA,NA,1,NA,71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,2627,TEXAS,24,NA,NA,NA,NA,0,0,TRUE,"2627 TEXAS, St. Louis, MO",NA,NA
16-002805,2016-05,01/17/2016 18:06,Y,NA,NA,1,NA,36111,2,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,3517,GRAND,15,NA,: @KENTUCKY FRIED CHICKEN - S GRAND,NA,NA,0,0,TRUE,"3517 GRAND, St. Louis, MO",NA,NA
16-002805,2016-05,01/17/2016 18:06,NA,NA,NA,1,NA,10000,2,HOMICIDE,3517,GRAND,15,NA,: @KENTUCKY FRIED CHICKEN - S GRAND,NA,NA,0,0,TRUE,"3517 GRAND, St. Louis, MO",NA,NA
16-002853,2016-08,01/18/2016 08:37,NA,NA,NA,1,NA,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3200,MARTIN LUTHER KING,59,NA,NA,NA,NA,0,0,TRUE,"3200 MARTIN LUTHER KING, St. Louis, MO",NA,NA
16-002906,2016-02,01/18/2016 13:20,NA,NA,NA,1,NA,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,3757,WILMINGTON,3,NA,NA,3757,WILMINGTON,0,0,TRUE,"3757 WILMINGTON, St. Louis, MO",NA,NA
16-003253,2016-01,01/19/2016 22:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,3100,ALFRED AVE,15,NA,NA,NA,NA,0,0,TRUE,"3100 ALFRED AVE, St. Louis, MO",NA,NA
16-003180,2016-02,01/20/2016 11:05,Y,NA,NA,1,NA,51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3933,HUMPHREY,15,NA,: #1104384,3933,HUMPHREY,0,0,TRUE,"3933 HUMPHREY, St. Louis, MO",NA,NA
16-003835,2016-01,01/24/2016 12:30,Y,NA,NA,1,NA,67701,4,LARCENY-FROM BUILDING UNDER $500,1820,MARKET ST,36,NA,@UNION STATION,NA,NA,0,0,TRUE,"1820 MARKET ST, St. Louis, MO",NA,NA
16-003916,2016-01,01/24/2016 18:00,Y,NA,NA,1,NA,21000,0,RAPE -- FORCIBLE,0,UNKOWN,0,NA,NA,2700,UTAH,0,0,TRUE,"0 UNKOWN, St. Louis, MO",NA,NA
16-004259,2016-02,01/27/2016 01:38,NA,NA,NA,1,NA,67701,3,LARCENY-FROM BUILDING UNDER $500,3503,MIAMI,19,NA,: APT 1W,3503,MIAMI,0,0,TRUE,"3503 MIAMI, St. Louis, MO",NA,NA
16-005031,2016-01,01/31/2016 18:30,Y,NA,NA,1,NA,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,731,HODIAMONT,48,METROLINK DELMAR TRAIN PLATFORM,TRAIN PLATFORM,NA,NA,0,0,TRUE,"731 HODIAMONT, St. Louis, MO",NA,NA
16-021198,2016-05,02/01/2016 00:01,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1100,HADLEY ST,62,NA,NA,1000,WHITTIER,0,0,TRUE,"1100 HADLEY ST, St. Louis, MO",NA,NA
16-005151,2016-02,02/01/2016 02:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,4400,S GRAND BLVD,16,NA,NA,4400,GRAND,0,0,TRUE,"4400 S GRAND BLVD, St. Louis, MO",NA,NA
16-005186,2016-02,02/01/2016 12:20,Y,NA,NA,1,NA,72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,S 9TH ST / CLARK AVE,35,NA,RAMP,NA,NA,0,0,TRUE,"0 S 9TH ST / CLARK AVE, St. Louis, MO",NA,NA
16-059550,2016-11,02/03/2016 23:30,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,700,SHENANDOAH AVE,36,NA,NA,700,SHENANDOAH,0,0,TRUE,"700 SHENANDOAH AVE, St. Louis, MO",NA,NA
16-005731,2016-02,02/04/2016 20:45,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4400,ARCO AVE,39,NA,APT 1ST FL,4400,ARCO,0,0,TRUE,"4400 ARCO AVE, St. Louis, MO",NA,NA
16-005988,2016-02,02/05/2016 17:00,Y,NA,NA,1,NA,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8804,NORTH BROADWAY,2,NA,NA,919,JEFFERSON,0,0,TRUE,"8804 NORTH BROADWAY, St. Louis, MO",NA,NA
16-006918,2016-02,02/06/2016 10:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,3900,FLORA PL,27,NA,NA,3900,FLORA,0,0,TRUE,"3900 FLORA PL, St. Louis, MO",NA,NA
16-006194,2016-02,02/07/2016 01:30,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,3800,MERAMEC ST,16,TIME OUT BAR & GRILL,NA,NA,NA,0,0,TRUE,"3800 MERAMEC ST, St. Louis, MO",NA,NA
16-006192,2016-02,02/07/2016 14:30,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,5000,ROSALIE ST,71,NA,NA,5000,ROSALIE,0,0,TRUE,"5000 ROSALIE ST, St. Louis, MO",NA,NA
16-006486,2016-03,02/09/2016 13:45,NA,NA,NA,1,NA,43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,323,DE BALIVIERE,47,NA,NA,5701,DELMAR,0,0,TRUE,"323 DE BALIVIERE, St. Louis, MO",NA,NA
16-007736,2016-02,02/15/2016 20:20,Y,NA,NA,1,NA,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",930,HOLLY HILLS DR,80,NA,NA,NA,NA,0,0,TRUE,"930 HOLLY HILLS DR, St. Louis, MO",NA,NA
17-007621,2017-02,02/16/2016 00:01,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,3600,19TH,65,NA,NA,5300,COLUMBIA,0,0,TRUE,"3600 19TH, St. Louis, MO",NA,NA
16-007869,2016-02,02/18/2016 00:30,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,0,N GRAND BLVD / SAMUEL SHEPARD,77,NA,NA,NA,NA,0,0,TRUE,"0 N GRAND BLVD / SAMUEL SHEPARD, St. Louis, MO",NA,NA
16-007968,2016-03,02/18/2016 21:26,NA,NA,NA,1,NA,43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5588,MARTIN LUTHER KING,78,CROWN FOOD MART,NA,5588,DR MARTIN LUTHER KING,0,0,TRUE,"5588 MARTIN LUTHER KING, St. Louis, MO",NA,NA
16-008590,2016-02,02/22/2016 15:20,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,3800,TAFT AVE,16,NA,NA,7300,ALABAMA,0,0,TRUE,"3800 TAFT AVE, St. Louis, MO",NA,NA
