Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-020983,2016-05,04/01/2016 17:36,Y,NA,NA,1,NA,23000,3,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,1200,S TUCKER BLVD,33,NA,NA,1200,TUCKER,0,0,TRUE,"1200 S TUCKER BLVD, St. Louis, MO",NA,NA
16-016527,2016-04,04/02/2016 14:45,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4000,UTAH ST,15,NA,NA,1900,OLIVE,0,0,TRUE,"4000 UTAH ST, St. Louis, MO",NA,NA
16-015981,2016-09,04/03/2016 00:01,NA,NA,NA,1,NA,64701,3,LARCENY-FROM MTR VEH UNDER $500,3840,MARINE,18,NA,NA,3840,MARINE,0,0,TRUE,"3840 MARINE, St. Louis, MO",NA,NA
16-015519,2016-04,04/03/2016 23:20,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,0,DR MARTIN LUTHER KING DR / HOD,78,NA,NA,NA,NA,0,0,TRUE,"0 DR MARTIN LUTHER KING DR / HOD, St. Louis, MO",NA,NA
16-015731,2016-04,04/05/2016 03:45,Y,NA,NA,1,NA,64601,0,"LARCENY-FROM MTR VEH $500 - $24,999",4247,LAFAYETTE AVE,2,NA,ON STREET,4247,LAFAYETTE,0,0,TRUE,"4247 LAFAYETTE AVE, St. Louis, MO",NA,NA
16-016403,2016-05,04/06/2016 19:30,NA,NA,NA,1,NA,66701,4,LARCENY-BICYCLES UNDER $500,1600,LOCUST,36,NA,NA,1600,LOCUST,0,0,TRUE,"1600 LOCUST, St. Louis, MO",NA,NA
16-016303,2016-04,04/08/2016 03:30,Y,NA,NA,1,NA,23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,1000,N 2ND ST,35,LUMIERE PLACE CASINO,3RD LEVEL OF GARAGE,1000,2ND,0,0,TRUE,"1000 N 2ND ST, St. Louis, MO",NA,NA
16-016448,2017-04,04/08/2016 22:30,NA,NA,NA,1,NA,42013,3,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,3418,LOUISIANA,30,NA,NA,3418,LOUISIANA,0,0,TRUE,"3418 LOUISIANA, St. Louis, MO",NA,NA
16-016762,2016-04,04/11/2016 01:30,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,3600,GARFIELD AVE,59,NA,NA,NA,NA,0,0,TRUE,"3600 GARFIELD AVE, St. Louis, MO",NA,NA
16-016879,2016-04,04/11/2016 06:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4100,ST LOUIS AVE,56,NA,NA,4100,ST LOUIS,0,0,TRUE,"4100 ST LOUIS AVE, St. Louis, MO",NA,NA
16-017509,2016-04,04/14/2016 18:40,Y,NA,NA,1,NA,41011,0,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3900,HOLLY HILLS DR,1,NA,NA,NA,NA,0,0,TRUE,"3900 HOLLY HILLS DR, St. Louis, MO",NA,NA
16-017560,2016-05,04/15/2016 04:41,NA,NA,NA,1,NA,43011,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,6,GAST,74,NA,NA,6,GAST,0,0,TRUE,"6 GAST, St. Louis, MO",NA,NA
16-017992,2016-04,04/16/2016 13:15,Y,NA,NA,1,NA,69702,0,LARCENY-ALL OTHER UNDER $500,500,S 8TH ST,4,BUSCH STADIUM,NA,NA,CERRE ST CITY,0,0,TRUE,"500 S 8TH ST, St. Louis, MO",NA,NA
16-017844,2016-04,04/16/2016 16:06,Y,NA,NA,1,NA,64601,0,"LARCENY-FROM MTR VEH $500 - $24,999",718,MEMORIAL DR,4,NA,NA,NA,NA,0,0,TRUE,"718 MEMORIAL DR, St. Louis, MO",NA,NA
16-017910,2016-04,04/16/2016 23:20,Y,NA,NA,1,NA,43012,0,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4200,ADELAIDE AVE,6,NA,NA,4538,ALICE,0,0,TRUE,"4200 ADELAIDE AVE, St. Louis, MO",NA,NA
16-017967,2016-05,04/17/2016 09:10,Y,NA,NA,1,NA,83000,5,ARSON-KNOWINGLY BURNING/SUCCESS,6062,CATES,48,NA,NA,6062,CATES,0,0,TRUE,"6062 CATES, St. Louis, MO",NA,NA
16-029749,2016-06,04/17/2016 14:46,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,0,ARLINGTON AVE / SAINT LOUIS AV,50,NA,ALIAS ARLINGTON AVE/ST LOUIS AVE CIT,NA,NA,0,0,TRUE,"0 ARLINGTON AVE / SAINT LOUIS AV, St. Louis, MO",NA,NA
16-018035,2016-04,04/17/2016 16:15,Y,NA,NA,1,NA,23000,3,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2300,JUDITH CT,18,NA,NA,4100,BROADWAY,0,0,TRUE,"2300 JUDITH CT, St. Louis, MO",NA,NA
16-018095,2016-04,04/17/2016 20:30,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3200,OREGON AVE,30,NA,NA,3100,CALIFORNIA,0,0,TRUE,"3200 OREGON AVE, St. Louis, MO",NA,NA
16-020002,2016-05,04/18/2016 19:30,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,0,LABADIE AVE / N SARAH ST,56,NA,ALLEY,NA,NA,0,0,TRUE,"0 LABADIE AVE / N SARAH ST, St. Louis, MO",NA,NA
16-018312,2016-05,04/19/2016 08:15,NA,NA,NA,1,NA,63601,3,"LARCENY-SHOPLIFT $500 - $24,999",710,RUSSELL,20,PHILLIPS 66,NA,710,RUSSELL,0,0,TRUE,"710 RUSSELL, St. Louis, MO",NA,NA
16-018375,2016-10,04/19/2016 11:38,Y,NA,NA,1,NA,41203,4,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,2764,BACON,59,NA,NA,NA,NA,0,0,TRUE,"2764 BACON, St. Louis, MO",NA,NA
16-018375,2016-10,04/19/2016 11:38,NA,NA,NA,1,NA,10000,4,HOMICIDE,2764,BACON,59,NA,NA,NA,NA,0,0,TRUE,"2764 BACON, St. Louis, MO",NA,NA
16-019508,2016-05,04/21/2016 18:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,800,AUBERT AVE,53,NA,NA,700,AUBERT,0,0,TRUE,"800 AUBERT AVE, St. Louis, MO",NA,NA
16-018802,2016-05,04/21/2016 18:23,NA,NA,NA,1,NA,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4121,FOREST PARK,38,NA,PARKING LOT OF SALVATION ARMY,4121,FOREST PARK,0,0,TRUE,"4121 FOREST PARK, St. Louis, MO",NA,NA
16-019176,2016-04,04/23/2016 01:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,600,S 18TH ST,36,NA,NA,NA,NA,0,0,TRUE,"600 S 18TH ST, St. Louis, MO",NA,NA
16-020438,2016-04,04/23/2016 18:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,700,BATES ST,1,NA,OFFENDER S RESIDENCE,NA,NA,0,0,TRUE,"700 BATES ST, St. Louis, MO",NA,NA
16-025071,2016-06,04/24/2016 15:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,2700,OREGON AVE,24,NA,NA,1500,GRAND,0,0,TRUE,"2700 OREGON AVE, St. Louis, MO",NA,NA
16-019294,2016-04,04/24/2016 16:45,Y,NA,NA,1,NA,71030,0,AUTO THEFT-PERM RETNT/JOY RIDE,4300,WEST FLORISSANT,6,O FALLON PARK,@OFALLON PARK,NA,NA,0,0,TRUE,"4300 WEST FLORISSANT, St. Louis, MO",NA,NA
16-019332,2016-10,04/24/2016 19:00,Y,NA,NA,1,NA,41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3675,LOUGHBOROUGH,80,CARONDELET PARK,NA,NA,NA,0,0,TRUE,"3675 LOUGHBOROUGH, St. Louis, MO",NA,NA
16-019332,2016-10,04/24/2016 19:00,Y,NA,NA,1,NA,41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3675,LOUGHBOROUGH,80,CARONDELET PARK,NA,NA,NA,0,0,TRUE,"3675 LOUGHBOROUGH, St. Louis, MO",NA,NA
16-019332,2016-10,04/24/2016 19:00,NA,NA,NA,1,NA,41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3675,LOUGHBOROUGH,80,CARONDELET PARK,NA,NA,NA,0,0,TRUE,"3675 LOUGHBOROUGH, St. Louis, MO",NA,NA
16-019602,2016-05,04/25/2016 20:30,NA,NA,NA,1,NA,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,4531,ALASKA,16,NA,NA,4531,ALASKA,0,0,TRUE,"4531 ALASKA, St. Louis, MO",NA,NA
16-019950,2016-06,04/27/2016 23:00,NA,NA,NA,1,NA,64701,4,LARCENY-FROM MTR VEH UNDER $500,1501,LOCUST,36,NA,NA,1501,LOCUST,0,0,TRUE,"1501 LOCUST, St. Louis, MO",NA,NA
16-021551,2016-05,04/29/2016 16:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1000,COLE ST,62,NA,NA,1000,COLE,0,0,TRUE,"1000 COLE ST, St. Louis, MO",NA,NA
16-020855,2016-05,04/30/2016 15:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,4300,KENNERLY AVE,57,THE VILLE APARTMENTS,EXACT APARTMENT IS UNKNOWN,4300,COTE BRILLIANTE,0,0,TRUE,"4300 KENNERLY AVE, St. Louis, MO",NA,NA
16-020567,2016-05,04/30/2016 21:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,900,BATES ST,1,NA,NA,900,BATES,0,0,TRUE,"900 BATES ST, St. Louis, MO",NA,NA
17-026103,2017-06,05/01/2016 00:01,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,8800,ORIOLE AVE,74,NA,NA,8800,ORIOLE,0,0,TRUE,"8800 ORIOLE AVE, St. Louis, MO",NA,NA
16-020911,2016-06,05/03/2016 09:59,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4400,CHOUTEAU AVE,39,NA,NA,4400,CHOUTEAU,0,0,TRUE,"4400 CHOUTEAU AVE, St. Louis, MO",NA,NA
16-020926,2016-06,05/03/2016 11:45,NA,NA,NA,1,NA,31421,3,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,730,CARROLL,21,NA,: @SOULARD MARKET,730,CARROLL,0,0,TRUE,"730 CARROLL, St. Louis, MO",NA,NA
16-021011,2016-05,05/03/2016 15:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,7100,PENNSYLVANIA AVE,1,NA,NA,7200,PENNSYLVANIA,0,0,TRUE,"7100 PENNSYLVANIA AVE, St. Louis, MO",NA,NA
16-021423,2016-05,05/05/2016 18:45,Y,NA,NA,1,NA,23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2900,HARPER ST,67,NA,NA,2900,HARPER,0,0,TRUE,"2900 HARPER ST, St. Louis, MO",NA,NA
16-021781,2016-05,05/07/2016 20:40,Y,NA,NA,1,NA,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,39,FAIRGROUND PARK,83,NA,NA,NA,NA,0,0,TRUE,"39 FAIRGROUND PARK, St. Louis, MO",NA,NA
16-021781,2016-05,05/07/2016 20:40,Y,NA,NA,1,NA,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,39,FAIRGROUND PARK,83,NA,NA,NA,NA,0,0,TRUE,"39 FAIRGROUND PARK, St. Louis, MO",NA,NA
16-021781,2016-05,05/07/2016 20:40,Y,NA,NA,1,NA,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,39,FAIRGROUND PARK,83,NA,NA,NA,NA,0,0,TRUE,"39 FAIRGROUND PARK, St. Louis, MO",NA,NA
16-021826,2016-05,05/08/2016 01:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,0,CLARA AVE / WELLS AVE,78,NA,EXACT ADDRESS IS UNKNOWN,5600,THEODOSIA,0,0,TRUE,"0 CLARA AVE / WELLS AVE, St. Louis, MO",NA,NA
17-018221,2017-05,5/8/2016 12:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,2600,CALIFORNIA AVE,24,NA,NA,2600,CALIFORNIA,0,0,TRUE,"2600 CALIFORNIA AVE, St. Louis, MO",NA,NA
16-022281,2016-05,05/09/2016 15:30,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,1100,UNION BLVD,51,NA,@LIBRARY- CABANNE BRANCH,5400,CABANNE,0,0,TRUE,"1100 UNION BLVD, St. Louis, MO",NA,NA
16-022163,2016-05,05/09/2016 20:30,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,3200,SUBLETTE AVE,13,NA,NA,900,OLIVE,0,0,TRUE,"3200 SUBLETTE AVE, St. Louis, MO",NA,NA
16-022170,2016-05,05/10/2016 01:45,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,5600,PAMPLIN AVE,76,NA,NA,5600,PAMPLIN,0,0,TRUE,"5600 PAMPLIN AVE, St. Louis, MO",NA,NA
16-022171,2016-05,05/10/2016 04:00,Y,NA,NA,1,NA,23000,1,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4200,BEETHOVEN AVE,5,NA,NA,4200,BEETHOVEN,0,0,TRUE,"4200 BEETHOVEN AVE, St. Louis, MO",NA,NA
16-022454,2016-09,05/11/2016 09:30,NA,NA,NA,1,NA,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3945,OREGON,16,NA,NA,3945,OREGON,0,0,TRUE,"3945 OREGON, St. Louis, MO",NA,NA
16-022723,2016-05,05/12/2016 16:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,0,MOUNT PLEASANT PARK,17,NA,@MOUNT PLEASANT PARK,NA,NA,0,0,TRUE,"0 MOUNT PLEASANT PARK, St. Louis, MO",NA,NA
16-022947,2017-02,05/14/2016 03:00,NA,NA,NA,1,NA,43012,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,600,MARKET,35,NA,ON SIDEWALK,1,BROADWAY,0,0,TRUE,"600 MARKET, St. Louis, MO",NA,NA
16-024089,2016-05,05/14/2016 12:02,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5100,VERNON AVE,51,NA,NA,5100,VERNON,0,0,TRUE,"5100 VERNON AVE, St. Louis, MO",NA,NA
16-023291,2017-06,05/15/2016 09:30,NA,NA,NA,1,NA,10000,5,HOMICIDE,6043,BARTMER,48,NA,NA,6043,BARTMER,0,0,TRUE,"6043 BARTMER, St. Louis, MO",NA,NA
16-023196,2016-05,05/15/2016 15:50,Y,NA,NA,1,NA,41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,0,FAIRGROUNDS PARK,83,FAIRGROUNDS PARK,FAIRGROUNDS PARK,4348,KENNERLY,0,0,TRUE,"0 FAIRGROUNDS PARK, St. Louis, MO",NA,NA
16-024492,2016-05,05/15/2016 23:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4400,ASHLAND AVE,56,NA,NA,4400,ASHLAND,0,0,TRUE,"4400 ASHLAND AVE, St. Louis, MO",NA,NA
16-025111,2016-06,05/16/2016 23:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3600,MISSOURI AVE,18,NA,NA,3600,MISSOURI,0,0,TRUE,"3600 MISSOURI AVE, St. Louis, MO",NA,NA
16-023674,2016-05,05/18/2016 04:45,Y,NA,NA,1,NA,31412,6,ROBBERY-HIGHWAY  /STRNGARM/INJURY/ATTEMPT,0,W. FLORRISANT / WARNE,67,NA,NA,NA,NA,0,0,TRUE,"0 W. FLORRISANT / WARNE, St. Louis, MO",NA,NA
16-025400,2016-05,05/22/2016 23:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,6300,OAKLAND AVE,42,NA,NA,6300,OAKLAND,0,0,TRUE,"6300 OAKLAND AVE, St. Louis, MO",NA,NA
18-000739,2017-12,05/22/2016 23:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,6300,OAKLAND AVE,42,NA,NA,6300,OAKLAND,0,0,TRUE,"6300 OAKLAND AVE, St. Louis, MO",NA,NA
16-024740,2016-05,05/23/2016 02:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,3200,MORGANFORD RD,15,NA,NA,3200,MORGANFORD,0,0,TRUE,"3200 MORGANFORD RD, St. Louis, MO",NA,NA
16-024937,2016-05,05/23/2016 15:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,1400,PARK AVE,33,NA,NA,1400,RUTGER,0,0,TRUE,"1400 PARK AVE, St. Louis, MO",NA,NA
16-025309,2016-05,05/26/2016 11:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,6200,SHERRY AVE,76,NA,NA,6200,SHERRY,0,0,TRUE,"6200 SHERRY AVE, St. Louis, MO",NA,NA
16-025793,2016-05,05/26/2016 18:00,Y,NA,NA,1,NA,23000,5,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,3300,HAMILTON AVE,50,NA,NA,3300,HAMILTON,0,0,TRUE,"3300 HAMILTON AVE, St. Louis, MO",NA,NA
16-028071,2016-06,05/27/2016 12:00,Y,NA,NA,1,NA,69602,2,"LARCENY-ALL OTHER $500 - $24,999",0,FRANCIS PARK,8,FRANCIS PARK,NA,NA,NA,0,0,TRUE,"0 FRANCIS PARK, St. Louis, MO",NA,NA
16-030662,2016-06,05/27/2016 23:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,300,UNION BLVD,47,NA,NA,300,UNION,0,0,TRUE,"300 UNION BLVD, St. Louis, MO",NA,NA
16-025589,2016-05,05/28/2016 04:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4400,CLARENCE AVE,68,NA,NA,4400,CLARENCE,0,0,TRUE,"4400 CLARENCE AVE, St. Louis, MO",NA,NA
16-025821,2016-06,05/29/2016 12:30,NA,NA,NA,1,NA,72130,2,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,1,THEATRE,82,NA,FOREST PARK MUNY PARKING LOT,1,THEATRE,0,0,TRUE,"1 THEATRE, St. Louis, MO",NA,NA
16-026034,2016-06,05/30/2016 19:50,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5300,VERNON AVE,49,NA,APT 2 WEST,5300,VERNON,0,0,TRUE,"5300 VERNON AVE, St. Louis, MO",NA,NA
16-026135,2016-05,05/31/2016 11:30,Y,NA,NA,1,NA,64701,2,LARCENY-FROM MTR VEH UNDER $500,0,TOWER GROVE PARK,81,TOWER GROVE PARK,NA,NA,NA,0,0,TRUE,"0 TOWER GROVE PARK, St. Louis, MO",NA,NA
16-033057,2016-07,06/01/2016 00:01,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3500,MONTANA ST,16,NA,NA,3500,MONTANA,0,0,TRUE,"3500 MONTANA ST, St. Louis, MO",NA,NA
17-005537,2017-02,06/01/2016 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5800,SELBER CT,50,HILLVALE APARTMENTS,HILLVALE APARTMENTS,5900,SELBER,0,0,TRUE,"5800 SELBER CT, St. Louis, MO",NA,NA
17-046449,2017-09,06/01/2016 00:01,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,5600,EICHELBERGER ST,7,NA,NA,5600,EICHELBERGER,0,0,TRUE,"5600 EICHELBERGER ST, St. Louis, MO",NA,NA
16-026641,2016-06,06/03/2016 02:30,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,0,CALIFORNIA AVE / KEOKUK ST,16,NA,NA,NA,NA,0,0,TRUE,"0 CALIFORNIA AVE / KEOKUK ST, St. Louis, MO",NA,NA
16-029472,2016-06,06/03/2016 11:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,4200,DELOR ST,5,NA,NA,4200,DELOR,0,0,TRUE,"4200 DELOR ST, St. Louis, MO",NA,NA
16-027025,2016-06,06/04/2016 10:45,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5400,DR MARTIN LUTHER KING DR,50,NA,NA,NA,NA,0,0,TRUE,"5400 DR MARTIN LUTHER KING DR, St. Louis, MO",NA,NA
16-027011,2016-06,06/04/2016 23:20,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3400,KLOCKE ST,16,NA,2ND FLR,3400,KLOCKE,0,0,TRUE,"3400 KLOCKE ST, St. Louis, MO",NA,NA
16-029990,2016-06,06/06/2016 00:01,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4100,W PENROSE ST,68,NA,NA,4100,PENROSE,0,0,TRUE,"4100 W PENROSE ST, St. Louis, MO",NA,NA
16-027385,2016-06,06/06/2016 17:00,Y,NA,NA,1,NA,44015,6,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,0,RIVERFRONT TRAIL WALK,75,RIVERFRONT PARK,NA,6339,AMELIA,0,0,TRUE,"0 RIVERFRONT TRAIL WALK, St. Louis, MO",NA,NA
16-057173,2016-11,06/07/2016 13:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,4200,LINDELL BLVD,38,NA,NA,4200,LINDELL,0,0,TRUE,"4200 LINDELL BLVD, St. Louis, MO",NA,NA
16-027607,2016-06,06/08/2016 01:30,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,0,N BROADWAY / GIMBLIN RD,74,NA,NEARBY ALLEY,900,CANAAN,0,0,TRUE,"0 N BROADWAY / GIMBLIN RD, St. Louis, MO",NA,NA
16-027833,2018-06,06/09/2016 08:28,NA,NA,NA,1,NA,10000,6,HOMICIDE,4257,SHREVE,69,SAMS ST. LOUIS PACKING CO,NA,4257,SHREVE,0,0,TRUE,"4257 SHREVE, St. Louis, MO",NA,NA
16-027957,2016-06,06/10/2016 00:17,Y,NA,NA,1,NA,31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,8800,NORTH BROADWAY,2,NA,NA,8867,LOWELL,0,0,TRUE,"8800 NORTH BROADWAY, St. Louis, MO",NA,NA
16-028098,2016-06,06/10/2016 19:00,Y,NA,NA,1,NA,43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,0,FAIRGROUNDS PARK,83,FAIRGROUNDS PARK,NA,5015,EMERSON,0,0,TRUE,"0 FAIRGROUNDS PARK, St. Louis, MO",NA,NA
16-034171,2016-07,06/11/2016 23:30,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1000,N 2ND ST,35,NA,@HOTEL- FOUR SEASONS,1000,2ND,0,0,TRUE,"1000 N 2ND ST, St. Louis, MO",NA,NA
16-028654,2016-06,06/12/2016 16:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,3900,OLIVE ST,38,NA,NA,4000,OLIVE,0,0,TRUE,"3900 OLIVE ST, St. Louis, MO",NA,NA
16-028782,2016-06,06/14/2016 07:00,Y,NA,NA,1,NA,65701,2,LARCENY-MTR VEH PARTS UNDER $500,0,TOWER GROVE PARK,81,TOWER GROVE PARK,NA,NA,NA,0,0,TRUE,"0 TOWER GROVE PARK, St. Louis, MO",NA,NA
16-028853,2016-06,06/14/2016 19:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,0,DR MARTIN LUTHER KING DR / N N,54,NA,NA,NA,NA,0,0,TRUE,"0 DR MARTIN LUTHER KING DR / N N, St. Louis, MO",NA,NA
16-037003,2016-07,06/15/2016 00:01,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,1900,VICTOR ST,22,NA,UPSTAIRS,1900,VICTOR,0,0,TRUE,"1900 VICTOR ST, St. Louis, MO",NA,NA
16-029370,2016-06,06/15/2016 20:00,Y,NA,NA,1,NA,23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2900,JAMES COOL PAPA BELL AVE,59,NA,NA,2900,JAMES COOL PAPA BELL,0,0,TRUE,"2900 JAMES COOL PAPA BELL AVE, St. Louis, MO",NA,NA
16-029087,2016-06,06/16/2016 02:50,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1700,COCHRAN PL,62,NA,1ST,1400,HOGAN,0,0,TRUE,"1700 COCHRAN PL, St. Louis, MO",NA,NA
16-029111,2016-12,06/16/2016 08:00,NA,NA,NA,1,NA,69602,5,"LARCENY-ALL OTHER $500 - $24,999",410,EUCLID,38,CENTRAL WEST END,NA,410,EUCLID,0,0,TRUE,"410 EUCLID, St. Louis, MO",NA,NA
16-029555,2016-06,06/18/2016 11:30,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4900,OLEATHA AVE,14,NA,NA,4900,OLEATHA,0,0,TRUE,"4900 OLEATHA AVE, St. Louis, MO",NA,NA
16-029938,2016-06,06/18/2016 14:00,Y,NA,NA,1,NA,67701,5,LARCENY-FROM BUILDING UNDER $500,1,BARNES JEWISH HOSPITAL PLZ,38,BARNES JEWISH HOSPITAL,NA,4949,NA,0,0,TRUE,"1 BARNES JEWISH HOSPITAL PLZ, St. Louis, MO",NA,NA
16-029641,2016-07,06/19/2016 00:01,NA,NA,NA,1,NA,67701,4,LARCENY-FROM BUILDING UNDER $500,999,2ND,35,LUMIERE PLACE CASINO,NA,999,2ND,0,0,TRUE,"999 2ND, St. Louis, MO",NA,NA
16-034543,2016-07,06/19/2016 17:00,Y,NA,NA,1,NA,64701,1,LARCENY-FROM MTR VEH UNDER $500,4355,S BROADWAY,17,CONOCO,GAS STATION,4355,S BROADWAY,0,0,TRUE,"4355 S BROADWAY, St. Louis, MO",NA,NA
16-029863,2016-06,06/20/2016 05:25,Y,NA,NA,1,NA,23000,2,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,1400,KRAFT ST,44,NA,NA,1400,KRAFT,0,0,TRUE,"1400 KRAFT ST, St. Louis, MO",NA,NA
16-031143,2016-06,06/27/2016 01:30,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,5300,VIRGINIA AVE,1,FAMILY DOLLAR,REAR PARKING LOT,500,BATES,0,0,TRUE,"5300 VIRGINIA AVE, St. Louis, MO",NA,NA
16-031327,2016-06,06/27/2016 22:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1700,COCHRAN PL,62,NA,NA,1700,PRESERVATION,0,0,TRUE,"1700 COCHRAN PL, St. Louis, MO",NA,NA
16-031523,2016-09,06/29/2016 01:35,NA,NA,NA,1,NA,43012,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,2501,GRAND,59,NA,PARKING LOT,NA,NA,0,0,TRUE,"2501 GRAND, St. Louis, MO",NA,NA
16-032642,2016-08,06/30/2016 16:00,NA,NA,NA,1,NA,82000,5,ARSON-2ND DEGREE/SUCCESS,5017,WASHINGTON,38,NA,NA,5017,WASHINGTON,0,0,TRUE,"5017 WASHINGTON, St. Louis, MO",NA,NA
18-000536,2017-12,07/01/2016 12:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,1400,OBEAR AVE,66,NA,NA,1400,OBEAR,0,0,TRUE,"1400 OBEAR AVE, St. Louis, MO",NA,NA
